Number of parameters in output net: 72
Number of parameters in hypernet: 646
Number of training points: 1280
Number of test points: 320
Epoch 2400 | Time 0.098 (0.096) | NFE-F 34.1 | NFE-B 47.2 | Test Acc 0.8250 | Train Acc 0.8461
Epoch 2500 | Time 0.092 (0.096) | NFE-F 34.2 | NFE-B 46.7 | Test Acc 0.8375 | Train Acc 0.8461
Epoch 2600 | Time 0.090 (0.097) | NFE-F 33.7 | NFE-B 47.6 | Test Acc 0.8406 | Train Acc 0.8445
Epoch 2700 | Time 0.089 (0.097) | NFE-F 34.1 | NFE-B 47.7 | Test Acc 0.8531 | Train Acc 0.8508
Epoch 2800 | Time 0.098 (0.098) | NFE-F 33.9 | NFE-B 48.7 | Test Acc 0.8531 | Train Acc 0.8547
Epoch 2900 | Time 0.103 (0.099) | NFE-F 33.8 | NFE-B 49.1 | Test Acc 0.8375 | Train Acc 0.8500
Epoch 3000 | Time 0.095 (0.099) | NFE-F 34.7 | NFE-B 48.7 | Test Acc 0.8469 | Train Acc 0.8555
Epoch 3100 | Time 0.090 (0.105) | NFE-F 35.6 | NFE-B 49.8 | Test Acc 0.8531 | Train Acc 0.8516
Epoch 3200 | Time 0.111 (0.111) | NFE-F 36.7 | NFE-B 51.5 | Test Acc 0.8594 | Train Acc 0.8523
Epoch 3300 | Time 0.107 (0.114) | NFE-F 37.0 | NFE-B 51.5 | Test Acc 0.8625 | Train Acc 0.8492
Epoch 3400 | Time 0.112 (0.119) | NFE-F 37.6 | NFE-B 52.1 | Test Acc 0.8531 | Train Acc 0.8633
Epoch 3500 | Time 0.093 (0.116) | NFE-F 37.8 | NFE-B 52.7 | Test Acc 0.8469 | Train Acc 0.8617
Epoch 3600 | Time 0.093 (0.113) | NFE-F 37.8 | NFE-B 53.3 | Test Acc 0.8469 | Train Acc 0.8633
Epoch 3700 | Time 0.114 (0.118) | NFE-F 38.1 | NFE-B 55.9 | Test Acc 0.8469 | Train Acc 0.8594
Converged at epoch: 3700
Number of parameters in output net: 72
Number of parameters in hypernet: 702
Number of training points: 1280
Number of test points: 320
Epoch 0100 | Time 0.051 (0.054) | NFE-F 23.4 | NFE-B 22.1 | Test Acc 0.6156 | Train Acc 0.6336
Epoch 0200 | Time 0.059 (0.063) | NFE-F 26.1 | NFE-B 27.4 | Test Acc 0.6469 | Train Acc 0.6781
Epoch 0300 | Time 0.061 (0.065) | NFE-F 26.3 | NFE-B 27.2 | Test Acc 0.7063 | Train Acc 0.7281
Epoch 0400 | Time 0.062 (0.065) | NFE-F 26.8 | NFE-B 27.3 | Test Acc 0.7344 | Train Acc 0.7531
Epoch 0500 | Time 0.063 (0.076) | NFE-F 29.8 | NFE-B 32.0 | Test Acc 0.7594 | Train Acc 0.7625
Epoch 0600 | Time 0.091 (0.081) | NFE-F 30.9 | NFE-B 34.5 | Test Acc 0.7688 | Train Acc 0.7773
Epoch 0700 | Time 0.122 (0.086) | NFE-F 31.5 | NFE-B 36.2 | Test Acc 0.7844 | Train Acc 0.7789
Epoch 0800 | Time 0.082 (0.087) | NFE-F 31.9 | NFE-B 36.1 | Test Acc 0.7719 | Train Acc 0.7867
Epoch 0900 | Time 0.079 (0.083) | NFE-F 32.2 | NFE-B 36.2 | Test Acc 0.7937 | Train Acc 0.7984
Epoch 1000 | Time 0.077 (0.086) | NFE-F 32.2 | NFE-B 37.4 | Test Acc 0.7906 | Train Acc 0.8063
Epoch 1100 | Time 0.072 (0.086) | NFE-F 32.3 | NFE-B 37.3 | Test Acc 0.8063 | Train Acc 0.8133
Epoch 1200 | Time 0.080 (0.092) | NFE-F 32.3 | NFE-B 38.0 | Test Acc 0.8063 | Train Acc 0.8195
Epoch 1300 | Time 0.098 (0.087) | NFE-F 32.3 | NFE-B 37.7 | Test Acc 0.8313 | Train Acc 0.8313
Epoch 1400 | Time 0.080 (0.085) | NFE-F 32.4 | NFE-B 38.8 | Test Acc 0.8250 | Train Acc 0.8328
Epoch 1500 | Time 0.081 (0.086) | NFE-F 32.3 | NFE-B 38.5 | Test Acc 0.8281 | Train Acc 0.8422
Epoch 1600 | Time 0.102 (0.086) | NFE-F 32.1 | NFE-B 39.5 | Test Acc 0.8281 | Train Acc 0.8422
Epoch 1700 | Time 0.169 (0.118) | NFE-F 32.2 | NFE-B 39.8 | Test Acc 0.8313 | Train Acc 0.8484
Epoch 1800 | Time 0.080 (0.084) | NFE-F 32.2 | NFE-B 39.4 | Test Acc 0.8344 | Train Acc 0.8523
Epoch 1900 | Time 0.080 (0.092) | NFE-F 32.1 | NFE-B 41.9 | Test Acc 0.8469 | Train Acc 0.8609
Epoch 2000 | Time 0.087 (0.094) | NFE-F 32.3 | NFE-B 44.1 | Test Acc 0.8375 | Train Acc 0.8656
Epoch 2100 | Time 0.106 (0.092) | NFE-F 32.3 | NFE-B 43.0 | Test Acc 0.8344 | Train Acc 0.8555
Epoch 2200 | Time 0.090 (0.098) | NFE-F 32.3 | NFE-B 44.5 | Test Acc 0.8344 | Train Acc 0.8672
Epoch 2300 | Time 0.116 (0.098) | NFE-F 32.5 | NFE-B 43.2 | Test Acc 0.8469 | Train Acc 0.8625
Epoch 2400 | Time 0.080 (0.095) | NFE-F 32.5 | NFE-B 44.1 | Test Acc 0.8500 | Train Acc 0.8703
Epoch 2500 | Time 0.097 (0.098) | NFE-F 32.2 | NFE-B 43.6 | Test Acc 0.8344 | Train Acc 0.8688
Epoch 2600 | Time 0.079 (0.098) | NFE-F 32.4 | NFE-B 44.3 | Test Acc 0.8406 | Train Acc 0.8664
Epoch 2700 | Time 0.079 (0.098) | NFE-F 32.5 | NFE-B 45.1 | Test Acc 0.8344 | Train Acc 0.8594
